paramSet_01.txt	paramSet_02.txt	paramSet_03.txt	paramSet_04.txt	paramSet_05.txt	paramSet_06.txt	paramSet_07.txt	paramSet_08.txt	paramSet_09.txt	paramSet_10.txt	paramSet_11.txt	paramSet_12.txt	paramSet_13.txt	paramSet_14.txt	paramSet_15.txt	paramSet_16.txt	paramSet_17.txt	paramSet_18.txt	paramSet_19.txt	paramSet_20.txt
1328.97	1403.45	1406.65	1180.89	1216.74	1220.9 	1183.91	1400.47	1158.78	1257.84	1219.13	1125   	1239.63	1513.04	1165.05	1177.57	1155.41	1123.98	1162.13	1281.66
1325.3 	1402.11	1405.96	1180.76	1218.33	1217.79	1183.66	1400.47	1158.52	1223.14	1219.13	1125   	1239.16	1513.04	1154.94	1175.2 	1155.41	1123.98	1161.86	1281.66
1325.04	1398.57	1405.96	1180   	1216.74	1216.12	1182.08	1389.54	1157.35	1223.14	1219.09	1124.28	1239.16	1498.87	1153.08	1175.2 	1155.41	1123.98	1156.4 	1279.44
1324.41	1398.57	1394.06	1180   	1214.57	1213.45	1180.29	1378.47	1151.2 	1225.72	1218.91	1121.76	1239.16	1498.87	1152.9 	1175.2 	1154.37	1119.3 	1153.91	1256.63
1316.39	1397.57	1405.96	1177.26	1208.64	1213.45	1179.08	1378.47	1149.66	1221.76	1218.07	1121.76	1237.94	1498.87	1151.25	1173.93	1151.03	1119.3 	1153.91	1256.63
1304.85	1396.89	1405.96	1176.25	1208.64	1206.87	1175.58	1378.47	1149.66	1221.76	1218.07	1121.76	1237.94	1498.07	1150.21	1171.08	1147.71	1118.6 	1153.91	1256.63
1302.16	1396.89	1405.96	1174.62	1208.64	1206.87	1173.49	1374.24	1143.57	1219.96	1216.94	1121.6 	1236.46	1497.99	1147.53	1171.08	1151.03	1118.6 	1151.15	1255.1 
1300.78	1395.24	1404.71	1174.62	1204.2 	1200.58	1171.94	1375.81	1143.57	1219.23	1216.94	1121.14	1233.04	1489.18	1142.39	1169.95	1146.39	1118.57	1151.15	1252.04
1299.93	1394.04	1397.15	1174.62	1204.2 	1200.58	1171.94	1368.45	1141.08	1219.42	1216.94	1119.82	1236.46	1489.18	1142.39	1168.54	1146.39	1117.23	1151.15	1250.44
1284.04	1389.71	1397.15	1174.62	1200.53	1200.58	1171.41	1368.45	1139.89	1214.64	1216.94	1118.44	1236.14	1483.96	1138.25	1166.17	1142.64	1114.74	1150.71	1243.46
1283.01	1380   	1397.15	1174.38	1196.61	1197.99	1170.78	1351   	1138.91	1218.02	1215.97	1118.44	1235.23	1483.96	1136.64	1166.17	1142.64	1117.23	1146.37	1237.09
1277.06	1371.59	1393.72	1172.86	1186.56	1197.99	1166.93	1351   	1135.65	1212.32	1215.97	1116.95	1228.8 	1482.6 	1136.22	1165.82	1133.11	1114.74	1150.71	1221.12
1273.73	1370.99	1389.45	1172.86	1184.8 	1197.5 	1166.91	1351   	1135.65	1209.06	1215.97	1116.95	1228.8 	1479.22	1136.22	1163.42	1133.11	1113.73	1150.71	1173.53
1273.68	1370.43	1384.33	1172.86	1184.43	1197.99	1166.91	1273.98	1133.4 	1214.26	1215.77	1115.81	1228.79	1463.94	1133.24	1163.42	1131.52	1113.73	1148.79	1173.53
1271.5 	1370.92	1381.5 	1163.22	1176.44	1197.99	1166.47	1260.34	1133.1 	1213.75	1215.43	1115.81	1228.79	1463.94	1128.29	1163.42	1128.48	1113.6 	1148.54	1159.65
1271.28	1368.1 	1375.25	1157.02	1174.1 	1197.99	1166.47	1244.26	1132.47	1212.97	1215.43	1115.57	1228.08	1448.44	1128.29	1163.42	1118.64	1109.84	1148.5 	1159.65
1270.97	1367.52	1375.25	1157.02	1173.95	1197.99	1165.32	1222.47	1132.37	1211.19	1209.59	1115.47	1225.61	1448.39	1124.96	1157.05	1118.64	1109.83	1148.45	1159.65
1270.57	1367.43	1367.03	1157.02	1172.41	1195.87	1163.48	1221.64	1124.07	1210.58	1209.59	1114.23	1225.02	1434.59	1123.28	1147.4 	1110.25	1109.83	1146.3 	1159.65
1270.57	1367.43	1363.02	1157.01	1172.41	1183.34	1160.68	1221.64	1124.08	1208.12	1209.39	1114.23	1216.89	1434.59	1123.28	1147.4 	1108.47	1109.83	1146.3 	1144.83
1270.24	1364.23	1361.34	1155.68	1166.45	1183.34	1159.89	1217.76	1124.08	1206.19	1209.39	1113.61	1224.48	1428.61	1111.66	1147.06	1108.47	1106.9 	1146.3 	1140.69
1269.43	1364.23	1361   	1155.68	1163.84	1179.62	1159.89	1207.32	1123.57	1205.73	1208.22	1113.61	1224.33	1428.61	1105.04	1139.8 	1106.93	1106.9 	1146.3 	1144.83
