paramSet_01.txt	paramSet_02.txt	paramSet_03.txt	paramSet_04.txt	paramSet_05.txt	paramSet_06.txt	paramSet_07.txt	paramSet_08.txt	paramSet_09.txt	paramSet_10.txt	paramSet_11.txt	paramSet_12.txt	paramSet_13.txt	paramSet_14.txt	paramSet_15.txt	paramSet_16.txt	paramSet_17.txt	paramSet_18.txt	paramSet_19.txt	paramSet_20.txt
3.11287e+06	1.48205e+30	12210.6    	152453     	1.04475e+06	6.04463e+26	22850.6    	3499.15    	268871     	270978     	2.84744e+06	3307.48    	29648      	2.29891e+06	37384.1    	9802.9     	6743.38    	405199     	2.88812e+07	9.80653e+11
8.12501e+14	8.06267e+08	1732.45    	4927.05    	2217.88    	6.04463e+26	53843      	12386      	25718.4    	6618.22    	4.38992e+07	40012.3    	193386     	98024.9    	328349     	6905.59    	46882.8    	19838      	2.16739e+07	472941     
129806     	8.06301e+08	8163.16    	5116.35    	5091.14    	1.20893e+27	13803.7    	42114.7    	59552.5    	2.56909e+06	10956.3    	6405.06    	26504.1    	2.10738e+08	60217.9    	7323       	22051.4    	19751.9    	1.10696e+06	3.74316e+08
210687     	8.06315e+08	2169.92    	7256.94    	2743.74    	6.18255e+07	1.87015e+06	1591.67    	240749     	6878.57    	419962     	10048.3    	22220      	1.38074e+06	385197     	2242.6     	64010.1    	17887.5    	9.71919e+06	7.4288e+08 
23506.5    	511673     	10261      	43627.2    	5837.24    	1.20032e+26	36552      	9946.09    	175328     	1560.65    	5.69455e+06	40392.7    	105566     	1.25692e+06	1.81728e+06	11176.7    	1.11342e+06	1562.01    	400948     	7.66944e+11
47495      	3.98171e+07	1516.14    	62514.3    	6458.82    	7.24639e+26	8949.5     	8266.29    	3.47303e+06	415998     	1.01439e+06	4.61978e+07	72061.3    	3.15952e+09	47661.9    	15336.9    	18804.9    	403375     	4.96705e+07	2.80982e+10
21288.2    	57672.1    	1434.49    	50497.6    	21034.2    	1.74838e+26	43624.2    	1878.66    	210673     	8720.47    	4.70833e+06	3716.65    	1.54369e+11	7.24074e+08	17954.8    	14121.8    	43946.1    	4466.86    	7.28884e+06	6.59636e+08
181242     	847139     	1270.72    	8161.2     	88804.1    	8.39389e+26	2485.38    	291895     	103546     	1888.91    	973375     	2765.89    	18026.3    	8.23973e+06	170465     	6169.7     	412479     	2353.16    	1.47275e+08	4.07075e+07
9091.19    	9499.94    	1177.14    	26830.5    	27659.8    	1.71406e+27	355726     	6736.56    	1.00191e+06	1514.51    	495842     	3.02225e+06	6.66175e+15	1.81866e+06	285942     	50512.7    	450580     	37362.8    	270342     	1.7636e+08 
78119.7    	6.00058e+06	1534.24    	34853.2    	3.87216e+06	1.20893e+27	13346.9    	13278.4    	53170.6    	521978     	1.55432e+07	1568.39    	69793      	12948.4    	34315.6    	19559.5    	41306.1    	11943      	6.78687e+07	5.17126e+07
22981.4    	238095     	1450.81    	23651.8    	7015.61    	1.98823e+27	11453      	2243.81    	1.31025e+28	1804.23    	65713.4    	8886.26    	74240.7    	148438     	42171.5    	6570.42    	141251     	42408.8    	213001     	1.86823e+09
138580     	113557     	1931.27    	4832.62    	5044.72    	2.37211e+26	8781.98    	2270.29    	33814.1    	5633.1     	77213.8    	6084.44    	25459.9    	2.17665e+06	165849     	5.11132e+06	32866.8    	36843      	3.46069e+06	4.312e+07  
7278.92    	1.47585e+30	8966.89    	18582.2    	32485.6    	7.26924e+26	7321.26    	42638.2    	25199.5    	5331       	30793.4    	3211.89    	11813.7    	179755     	904052     	10894.7    	9.03619e+06	997198     	328474     	8.52817e+06
94400.6    	48768.7    	208000     	4149.59    	67930.7    	1.26901e+27	4.01189e+06	36651.7    	26161.5    	2495.01    	63029.9    	20030.5    	643732     	60459.9    	892517     	9608.89    	117523     	2396.85    	229814     	5.24545e+09
19627.1    	6699.06    	445385     	24218.1    	24031.9    	1.66283e+07	49403.2    	7826.09    	4.81778e+06	11578.9    	34262.4    	683457     	86424.3    	842111     	86965.1    	459939     	11084.9    	2797.79    	2.00324e+06	6.00242e+12
6234.38    	8.48924e+27	7823.25    	2.55988e+08	9663.94    	2.95014e+26	7392.88    	44676.5    	3.64692e+06	9595.33    	1.34818e+08	8332.39    	3378.51    	71276.7    	72396.5    	23423.9    	18090.6    	16370.3    	6.55614e+06	2.832e+07  
11867.3    	61344.9    	11193.4    	3609.74    	98258.3    	1.33139e+27	23761      	19343.1    	1.31025e+28	104183     	60511.8    	1384.92    	30080.3    	1.59532e+06	3.55466e+06	5.05862e+07	4.41365e+07	2.96241e+06	1.27429e+09	3.12523e+09
22491.8    	12551.9    	9992.12    	19645.4    	99909.4    	2.41785e+27	15316.8    	2236.96    	139081     	385990     	7555.66    	5899.31    	27893.9    	722520     	75520.4    	1401.23    	32733.1    	14555.9    	1.79649e+06	1.48009e+12
4830.38    	14915.6    	43435      	2524.44    	18443.8    	3.02231e+27	16778.9    	3456.16    	396954     	6032.94    	19631.7    	6389.47    	13255.7    	2.6106e+06 	2.37102e+13	2290.94    	29624.2    	418171     	672372     	6.24474e+09
5136.29    	21405.7    	4006.2     	51986.9    	6198.01    	1.74838e+26	24675.8    	129792     	369408     	11222.7    	83489.8    	1906.63    	1.56588e+06	4.89524e+07	80014.9    	10239.8    	8250.09    	10717.7    	1.16175e+06	1.0143e+13 
87344.1    	66631.6    	213738     	57834      	6413.27    	6.04463e+26	10949.1    	1421.21    	134233     	1171.91    	29573.2    	199166     	12620      	6.29344e+06	3.00507e+14	142114     	29337      	142399     	141345     	7.6456e+07 
3976.67    	6499.72    	15112      	34215.8    	2977.25    	6.0088e+25 	181972     	1138.44    	174638     	12379.4    	72791.9    	53747.6    	8818.61    	28656.3    	8.99056e+06	2141.29    	3745.36    	1249.31    	306405     	8.09446e+06
7775.65    	3820.3     	7707.36    	68875.7    	5.08385e+06	3.49676e+26	24631      	901074     	5.83234e+27	1364.9     	22042.2    	7058.74    	5.7833e+09 	313623     	1.21068e+08	6498.1     	17327.4    	4862.14    	2.39389e+06	2.66032e+09
