paramSet_01.txt	paramSet_02.txt	paramSet_03.txt	paramSet_04.txt	paramSet_05.txt	paramSet_06.txt	paramSet_07.txt	paramSet_08.txt	paramSet_09.txt	paramSet_10.txt	paramSet_11.txt	paramSet_12.txt	paramSet_13.txt	paramSet_14.txt	paramSet_15.txt	paramSet_16.txt	paramSet_17.txt	paramSet_18.txt	paramSet_19.txt	paramSet_20.txt
263.618	291.172	294.49 	300.884	288.866	315.912	261.032	278.358	237.726	281.363	306.469	293.786	285.268	280.363	280.081	296.467	272.063	276.117	237.161	286.425
262.611	291.172	292.101	300.884	287.652	315.852	260.876	278.358	229.376	280.7  	301.14 	293.143	285.207	280.316	279.517	296.467	270.322	276.117	237.161	286.425
262.611	291.172	292.101	300.379	287.629	315.696	260.207	278.358	237.324	280.615	300.827	293.143	285.207	280.171	279.517	296.457	270.322	276.117	237.161	286.425
262.611	290.375	292.101	300.379	287.629	315.696	260.207	278.358	234.369	280.606	298.559	293.143	284.96 	280.258	279.113	296.457	270.322	276.117	234.735	286.425
262.526	290.375	291.881	300.269	287.426	315.696	259.811	278.358	233.736	280.453	286.809	293.143	284.96 	280.258	278.129	296.457	270.196	275.87 	234.957	286.425
262.526	290.375	291.813	300.269	285.859	315.696	259.803	277.743	232.264	280.242	279.459	292.647	284.96 	280.226	275.516	296.457	270.196	275.87 	234.957	286.425
261.668	268.426	290.413	300.156	285.322	315.696	259.505	277.743	230.59 	280.242	279.459	292.647	284.941	280.147	275.516	296.457	270.196	275.87 	234.585	286.425
262.307	266.721	290.413	299.392	284.757	315.696	258.994	277.743	230.59 	279.677	275.898	292.427	284.694	280.147	275.568	296.457	269.991	275.611	234.585	286.425
262.12 	268.426	290.113	299.392	283.711	315.696	258.716	277.743	230.59 	279.677	275.718	291.707	284.694	279.966	275.503	296.457	269.991	275.196	234.585	286.425
262.084	268.426	290.113	299.012	283.711	315.696	258.716	277.743	230.171	279.639	275.583	291.707	283.702	279.966	274.692	296.457	269.991	275.196	234.482	286.425
262.084	267.777	290.113	298.369	282.726	315.521	256.493	277.743	225.583	279.206	275.352	291.707	284.694	279.966	274.692	296.457	269.991	275.196	233.628	286.425
262.084	266.154	288.703	298.369	282.482	315.521	256.493	277.71 	225.583	279.206	273.379	291.347	284.53 	279.966	274.09 	296.457	269.623	275.196	233.399	286.425
262.009	266.154	287.826	298.196	282.482	315.521	256.334	277.71 	225.583	279.206	273.103	290.715	284.406	279.671	274.068	296.457	269.623	275.049	233.349	286.425
