URBAN_PER	URBAN_POP	LABOR_PARTICIPATION	BIRTH_RATE	ELEC_PER_CAP	ENERGY  	CO2   	PHONES	NET_IMPORTS	POPULATION	POPDENS	ARABLE_PER_AG	AGLAND_PER	ARABLE_PER	AREA	COMSTHREE	COMSTWO	GDP_PPP	SHADOW_PER
18.48	4704015.81	89.1	44.13	51.19	9733	2370.61	73011	1595095769	25454631	26.87	0.26	38.38	10.16	947300	73011	73011	15561383553	31
68.52	17880117.22	62.4	21.13	3306.49	66642	185266.5	4342100	147724000000	26094742	79.14	0.23	23.95	5.48	329740	24548422	23805822	329309000000	31
55.12	10052718.35	66.6	37.51	245.48	6723	4264.9	130694	3762598189	18237878	38.36	0.65	19.38	12.61	475440	3267061	3266640	37150722851	32.2
64.26	8484272.22	61.1	21.6	758.69	10971	29264.37	1775232	13748955000	13203038	46.56	0.17	27.09	4.68	283560	10260282	10260282	96173261566	32.2
58.06	1082720.88	75.7	24.91	1417.82	1949	4744.88	132034	3451273104	1864831	3.21	0.01	45.6	0.42	581730	956904	955104	23498658272	32.7
92.64	25041518.4	65.2	21.77	3098.44	60961	160417.25	4216794	39682233050	27031000	29.64	0.12	24.2	3	912050	23543726	23006260	299231000000	32.7
86.72	3577977.01	45.3	16.07	2104.75	4667	15018.74	681381	9456716418	4125896	396.72	0.22	63.83	13.85	10400	1977812	1787812	40387109634	33.3
21	7722038.73	81.7	39.16	148.29	18167	12435.62	293364	8171000000	36771613	63.36	0.19	47.44	9.25	580370	7651404	7633681	52640201652	33.8
49.68	1529293.98	58.5	26.95	1086.32	1980	2953.18	281433	2686102521	3078289	60.24	0.1	54.05	5.48	51100	281433	281433	13604338087	34
42.64	33515927.34	48	25.13	1303.72	63822	178253.6	10890050	33931336895	78602081	78.49	0.85	3.54	3.02	1001450	29149682	28891156	367624000000	34.1
55.34	17074034.15	52.3	20.52	677.18	13351	44997.58	1266119	26044110960	30852971	69.09	0.27	67.19	18.2	446550	17662707	17270850	120358000000	34.8
88.64	2752767.5	61	18	1246.15	2251	3990.1	415403	1682750453	3105559	17.62	0.08	84.7	7.2	176220	415403	415403	16122913064	35.2
12.54	165925.27	65.3	14.7	5025.82	14229	34452.59	325500	7065079290	1323168	257.93	0.46	10.53	4.87	5130	1864913	1844300	30866135842	35.2
40.6	2494828.99	73.7	33.89	101.71	2368	1220.11	82057	1371454420	6144899	108.2	0.69	66.74	45.78	56790	790057	790057	4962875496	35.4
26.18	40700237.22	70.9	22.65	145.09	24635	41579.07	1134000	15626145543	155463091	1079.6	0.88	69.47	61.17	144000	20264984	20264984	180263000000	35.5
16.28	4519047.98	70.9	26.76	79.83	9349	3330.58	611544	2841804378	27758280	188.6	0.56	29.37	16.44	147180	1768646	1768646	27867061401	36.1
65.7	6654161.7	47.7	17.1	1220.37	8521	23108.85	1268462	16321712998	10128100	61.9	0.28	63.23	17.57	163610	8651354	8607509	70516010236	36.4
35.32	56209990.83	52.9	30.63	479.66	78570	145735.6	5240012	29610146257	159144934.4	199.91	0.79	35.1	27.59	796100	39773179	39746568	373038000000	36.5
73.9	32297615.15	58.1	20.99	951.96	29621	61511.23	7860205	35672070752	43704486	38.28	0.05	38.36	1.83	1141750	38250998	37622921	342457000000	36.8
83.16	10969232.27	54.2	23	1245.52	13824	34873.95	864155	9641147917	13190515	17.45	0.19	21.74	4.11	756090	878076	878076	62575470594	37
16.4	12566942.31	84.6	39.09	38.39	22131	6001.63	725046	5547315225	76627697	69.39	0.38	33.69	12.92	1104300	1592007	1591746	54058450464	37.6
59.1	3555089.58	70.2	25.42	900.52	4040	3982.77	331061	5401636908	6015380	14.79	0.2	50.33	9.82	406750	3579903	3563903	24781536648	37.7
51.48	18120960	48.1	29.28	4431.48	90860	333240.8	3315022	21016333355	35200000	28.87	0.13	79.29	10.59	1219090	3320702	3320702	199367000000	38
49.02	8874257.76	61	30.4	1178.07	22667	56546.51	1585744	31883249153	18103341	54.9	0.22	21.23	4.57	329740	1672364	1672364	85447443951	39
47.68	11828331.86	52.4	29.6	359.16	6941	23522.88	403000	8226922136	24807743	55.55	0.27	67.36	18.32	446550	403904	403904	47709631512	39
84.66	159294933.61	70.1	17.48	2072.46	222939	352253.3	38800200	124852000000	188158438	22.1	0.23	31.21	7.03	8514880	143485831	138718824	1698800000000	39
53.54	1291681.41	59.5	26.12	853.04	1491	3132.72	216026	4176300000	2412554	31.99	0.23	28.25	6.46	75420	216026	216026	10419566961	40
17.36	2970909.16	58.3	20.84	153.33	5516	3770.26	121388	3057438842	17113532	260.84	0.38	36.21	13.89	65610	122398	122398	24521954379	40
63.44	55255679.82	64.5	25.33	572.9	39382	67523.86	3633188	56386732287	87099117	290.33	0.44	38.07	16.77	300000	46767130	46502100	272188000000	40.1
48.54	10869726.27	74.5	32.86	311.92	9295	9116.03	356355	8282063747	22393338	93.88	0.27	65.26	17.58	238540	5576346	5563597	28719275480	42
15.1	3002786	55.2	18.7	399.23	9084	11732.13	1884078	11632730247	19886000	303.09	0.41	37.29	15.47	65610	7319469	7296574	77531570561	42.7
47.46	9337000.86	66.6	35.84	173.23	9537	6877.33	270573	7356231712	19673411	61.01	0.14	62.89	8.81	322460	4345994	4335994	31212014689	43.4
68.5	14916603.16	61.1	29.91	547.62	9736	21148.61	564504	3637681120	21776063	16.94	0.18	14.8	2.66	1285220	566154	566154	68951250584	44
56.18	3103786.57	61.8	25.11	426.99	3430	4308.86	247862	3234428002	5524718	42.38	0.39	44.17	17.08	130370	2097124	2078082	13591663356	44.1
57.08	4654531.52	48.1	25.2	638.43	4948	13256.35	302836	6219545455	8154400	49.84	0.34	55.81	18.9	163610	303789	303789	23273283926	45
60.1	3655103.5	60.1	20.47	801.58	4625	6455.97	1036777	8740900000	6081703	289.05	0.47	78.76	37.11	21040	4949872	4888388	37063128870	45.4
60.58	2111863.02	72.2	35.46	135.11	1205	1461.94	18000	5073252067	3486073	10.19	0.05	30.88	1.45	342000	935499	935499	13104270427	45.9
92.1	3052623.19	63	14.76	2041.66	3190	6859.01	986867	6193331318	3314466	18.81	0.09	84.22	7.43	176220	3529460	3316878	34479674247	47.7
40.4	3283796.03	72.6	40.07	74.06	2790	3726.29	77342	1074604601	8128208	72.17	0.77	32.25	24.86	112620	1134567	1133069	11070101634	48.3
46.96	3302272.75	61.9	28.36	636.08	4046	7100.83	715106	8414977507	7032097	62.74	0.34	27.96	9.55	112090	2955862	2955862	24823554946	48.6
35.14	4223645.62	69.5	43.74	710.01	7251	2561.14	93427	3220948408	12019481	15.97	0.21	34.35	7.08	752610	1759094	1756755	14526194161	49.3
47.64	29740451.47	65.1	32.96	375.92	27499	44495.62	610032	14748689329	62427480	208.09	0.49	37.23	18.24	300000	610032	610032	105731000000	50
47.66	6209420.27	65.1	34.09	528.68	8143	12285.39	1354926	12662754459	13028578	119.65	0.31	42.57	13.06	108890	8572671	8533671	56201687635	50.4
32.64	21707739.23	73.4	14.75	1984.33	99856	278914.67	7071633	145295000000	66506554	129.61	0.78	38.36	29.75	513120	47794813	47794813	483336000000	51.2
24.64	9884888.68	88.6	41.82	69.15	17760	5375.09	157287	3940711718	40117243	42.35	0.27	39.23	10.72	947300	5923853	5923853	44474652910	54.8
71.2	20061299.18	66.6	21.82	880.5	13218	34976.54	2400604	18327040335	28175982	21.92	0.17	16.68	2.85	1285220	11657657	11172758	195812000000	57.7
40.72	3628201.27	63.6	39.16	223.23	4435	5081.97	190218	1900441482	8910121	81.83	0.3	39.99	12.13	108890	190511	190511	21113400675	61
71.6	2353903.7	64.7	21.4	1505.97	2893	6833.36	488308	11906400000	3287575	43.59	0.25	30	7.37	75420	2775497	2662759	33263939007	61.1
43.58	25182636.76	50.6	33.5	658.46	31825	75881.44	1602067	14109376138	57784848	57.7	0.9	2.58	2.32	1001450	1606067	1606067	130687000000	68
29.14	16514504.92	81.9	19.72	708.13	42026	95754.98	1324522	35545809870	56672975	110.45	0.83	41.76	34.7	513120	1387745	1387745	159435000000	71
34.6	33679043.84	55.8	46.04	85.18	70582	45338.34	289190	8202785667	97338277	105.37	0.41	78.93	32.04	923770	289190	289190	98177080595	76
